uri,issn,jname,atitle
http://vivo.ufl.edu/individual/n837558053,1614-6832,Advanced Energy Materials,Synthesis of High Aspect Ratio Batio3 Nanowires for High Energy Density Nanocomposite Capacitors
http://vivo.ufl.edu/individual/n2573766658,1935-2735,Plos Neglected Tropical Diseases,Evidence of Local Persistence of Human Anthrax in the Country of Georgia Associated With Environmental and Anthropogenic Factors
http://vivo.ufl.edu/individual/n2968786438,0013-936X,Environmental Science and Technology,"Novel Phytase From Pteris Vittata Resistant To Arsenate, High Temperature, and Soil Deactivation"
http://vivo.ufl.edu/individual/n8078800338,0037-6779,Slavic Review,"Showcasing the Great Experiment: Cultural Diplomacy and Western Visitors To the Soviet Union, 1921-1941."
http://vivo.ufl.edu/individual/n8461673380,0013-936X,Environmental Science and Technology,Engineered Biochar Reclaiming Phosphate From Aqueous Solutions: Mechanisms and Potential Application as a Slow-Release Fertilizer
http://vivo.ufl.edu/individual/n6956540112,0146-9592,Optics Letters,Liquid Acoustic Lens for Photoacoustic Tomography
http://vivo.ufl.edu/individual/n6678881816,1935-5130,Food and Bioprocess Technology,Effect of Pulsed Ultraviolet Light and High Hydrostatic Pressure On the Antigenicity of Almond Protein Extracts
http://vivo.ufl.edu/individual/n5831943003,0032-5910,Powder Technology,Effect of Emulsion Fluidization State On the Fluctuations in Gas and Particle Velocities Inside the Plume of a Gas Jet Injected Into a Fluidized Bed
http://vivo.ufl.edu/individual/n6624694110,1061-4036,Nature Genetics,Forward Genetic Screen for Malignant Peripheral Nerve Sheath Tumor Formation Identifies New Genes and Pathways Driving Tumorigenesis
http://vivo.ufl.edu/individual/n8716789612,1752-0894,Nature Geoscience,Fine-Scale Segmentation of the Crustal Magma Reservoir Beneath the East Pacific Rise
http://vivo.ufl.edu/individual/n5147445393,0022-1325,Journal of Genetic Psychology,"Siblings, Language, and False Belief in Low-Income Children"
http://vivo.ufl.edu/individual/n7220375777,0022-3050,"Journal of Neurology, Neurosurgery & Psychiatry",Long-Term Subthalamic Nucleus Stimulation Improves Sensorimotor Integration and Proprioception
http://vivo.ufl.edu/individual/n619511162,0002-1857,Agrochimica,Transformation of Microalgae Into Biofuels Using Chemical Catalysts: Relevance in Green Energy Production
http://vivo.ufl.edu/individual/n2725792383,2045-2322,Scientific Reports,Cholera in Haiti: Reproductive Numbers and Vaccination Coverage Estimates
http://vivo.ufl.edu/individual/n561177870,1525-0016,Molecular Therapy,"Transduction of Murine, Nonhuman Primate, and Human Hematopoietic Stem Cells (Hscs) By Recombinant Aav Serotype Vectors: Identification of Aav6 as the Most Efficient Serotype for Human Hscs, and Further Augmentation in Transduction Efficiency in Vitro and in Vivo With Point-Mutations of Tyrosine Residues in the Viral Capsid"
http://vivo.ufl.edu/individual/n7019118528,1932-6203,PLoS One,The Effects of Vector Movement and Distribution in a Mathematical Model of Dengue Transmission
http://vivo.ufl.edu/individual/n7814450347,0002-9149,The American Journal of Cardiology,Refining the Role of Antiplatelet Therapy in Medically Managed Patients With Acute Coronary Syndrome
http://vivo.ufl.edu/individual/n1817186800,1098-0121,Physical Review B,Majorana Spin Liquid and Dimensional Reduction in Cs2Cucl4
http://vivo.ufl.edu/individual/n3986210959,1549-9618,Journal of Chemical Theory and Computation,Electronic Delocalization in Coordination Polymers Based On Bimetallic Carboxylates
http://vivo.ufl.edu/individual/n8374489810,1050-0472,Journal of Mechanical Design,Kinematic Analysis of a Three-Degree of Freedom Compliant Platform
http://vivo.ufl.edu/individual/n9769001734,0005-1098,Automatica,A Novel Actor-Critic-Identifier Architecture for Approximate Optimal Control of Uncertain Nonlinear Systems
http://vivo.ufl.edu/individual/n6995440582,0002-9483,American Journal of Physical Anthropology,Relationship of Internal and External Condylar Morphology To Feeding Behavior and Diet in Tai Forest Monkeys
http://vivo.ufl.edu/individual/n3152299833,0278-4343,Continental Shelf Research,Fortnightly Variations of the Lateral Structure of Flow and Hydrography At the Chesapeake Bay Entrance
http://vivo.ufl.edu/individual/n2031046234,0959-4493,Veterinary Dermatology,"Fixing the Skin Barrier: Past, Present and Future - Man and Dog Compared"
http://vivo.ufl.edu/individual/n5555595768,1936-0851,ACS Nano,Nanotechnology in Plant Disease Management: Dna-Directed Silver Nanoparticles On Graphene Oxide as An Antibacterial Against Xanthomonas Perforans
http://vivo.ufl.edu/individual/n5662548102,0022-1767,Journal of Immunology,Anti-Cd3 Antibody Treatment Induces Hypoglycemia and Super Tolerance To Glucose Challenge in Mice Through T Cell Activation
http://vivo.ufl.edu/individual/n2427042888,0027-8874,Journal of the National Cancer Institute,Overcoming Chronic Myeloid Leukemia Stem Cell Resistance To Imatinib By Also Targeting Jak2
http://vivo.ufl.edu/individual/n72696939,0735-6757,The American journal of emergency medicine,An Algorithm for Identification of St-Elevation Myocardial Infarction Patients By Emergency Medicine Services
http://vivo.ufl.edu/individual/n2290927592,1932-6203,PLoS One,Traumatic Brain Injury: Unmet Support Needs of Caregivers and Families in Florida
http://vivo.ufl.edu/individual/n9259463375,1089-2591,Journal of Lower Genital Tract Disease,Cytology of Vulvar/Vaginal Paget Disease: Report of a Case and Review of the Literature
http://vivo.ufl.edu/individual/n7039188197,1553-7374,Plos Pathogens,Bifurcation of Arabidopsis Nlr Immune Signaling Via Ca2+-Dependent Protein Kinases
http://vivo.ufl.edu/individual/n2094738910,1525-0016,Molecular Therapy,Ex Vivo Expanded Treg Suppress Inhibitor Formation in Protein and Gene Therapies for Hemophilia
http://vivo.ufl.edu/individual/n3870031094,0047-2425,Journal of Environmental Quality,Orthophosphate Leaching in St. Augustinegrass and Zoysiagrass Grown in Sandy Soil Under Field Conditions
http://vivo.ufl.edu/individual/n5649148374,0165-0270,Journal of Neuroscience Methods,Quantifying Bursting Neuron Activity From Calcium Signals Using Blind Deconvolution
http://vivo.ufl.edu/individual/n7001830727,1051-0761,Ecological Applications,Modeling Spatial Decisions With Graph Theory: Logging Roads and Forest Fragmentation in the Brazilian Amazon
http://vivo.ufl.edu/individual/n627351862,0883-5403,Journal of Arthroplasty,Knee Kinematics in Anterior Cruciate Ligament-Substituting Arthroplasty With Or Without the Posterior Cruciate Ligament
http://vivo.ufl.edu/individual/n6882270214,1976-7633,Asia-Pacific Journal of Atmospheric Sciences,The Global/Regional Integrated Model System (Grims)
