uri,issn,jname,atitle
http://vivo.ufl.edu/individual/n5008532203,0925-5214,Postharvest Biology and Technology,"Variation in Water, Osmotic and Turgor Potential in Peel of `Marsh' Grapefruit During Development of Postharvest Peel Pitting"
http://vivo.ufl.edu/individual/n5899592056,1045-9219,IEEE Transactions On Parallel and Distributed Systems,An Identity-Based Security System for User Privacy in Vehicular Ad Hoc Networks
http://vivo.ufl.edu/individual/n1297716745,0891-3668,The Pediatric infectious disease journal,Renal Microabscesses Due To Bartonella Infection
http://vivo.ufl.edu/individual/n6419282764,0021-8723,Journal of American History,Nature's Ghosts: Confronting Extinction From the Age of Jefferson To the Age of Ecology
http://vivo.ufl.edu/individual/n1757579313,0009-398X,Child Psychiatry and Human Development,Understudied Clinical Dimensions in Pediatric Obsessive Compulsive Disorder
http://vivo.ufl.edu/individual/n2084520753,0971-7811,Journal of Plant Biochemistry and Biotechnology,Rapid and Efficient Protocols for Throughput Extraction of High Quality Plasmid Dna From Strains of Xanthomonas Axonopodis Pv Malvacearum and Escherichia Coli
http://vivo.ufl.edu/individual/n4737171938,1051-0761,Ecological Applications,Marine Reserves: Fish Life History and Ecological Traits Matter
http://vivo.ufl.edu/individual/n8997516754,1045-2257,Genes Chromosomes and Cancer,Overexpression of Dicer as a Result of Reduced Let-7 Microrna Levels Contributes To Increased Cell Proliferation of Oral Cancer Cells
http://vivo.ufl.edu/individual/n2231328859,0165-1684,Signal Processing,Image Denoising By Bounded Block Matching and 3D Filtering
http://vivo.ufl.edu/individual/n5251896098,0022-216X,Journal of Latin American Studies,"Made-From-Bone: Trickster Myths, Music and History From the Amazon"
http://vivo.ufl.edu/individual/n8409967817,0015-4040,Florida Entomologist,Royal Palm Bug Xylastodoris Luteolus (Hemiptera: Thaumastocoridae) Control With Soil Applied Systemics
http://vivo.ufl.edu/individual/n3567201105,0010-3624,Communications in Soil Science and Plant Analysis,Assessment of Ionic Interferences To Nitrate and Potassium Analyses With Ion-Selective Electrodes
http://vivo.ufl.edu/individual/n259187963,0749-1581,Magnetic Resonance in Chemistry,Development of An Inductively Coupled Mr Coil System for Imaging and Spectroscopic Analysis of An Implantable Bioartificial Construct At 11.1 T
http://vivo.ufl.edu/individual/n3864261333,0031-949X,Phytopathology,Combinatorially Selected Peptides for Protection of Soybean Against Phakopsora Pachyrhizi
http://vivo.ufl.edu/individual/n3890593103,1475-2875,Malaria Journal,Analysis of the Dihydrofolate Reductase-Thymidylate Synthase Gene Sequences in Plasmodium Vivax Field Isolates That Failed Chloroquine Treatment
http://vivo.ufl.edu/individual/n7852597459,0168-8278,Journal of Hepatology,Dynamics of Apoptotic Activity in Patients With Chronic Hepatitis C Treated With Albinterferon Alfa-2B Or Peginterferon Alfa-2a
http://vivo.ufl.edu/individual/n8146982081,0045-8511,Copeia,"A Revision of Lepidocephalichthys (Teleostei: Cobitidae) With Descriptions of Two New Species From Thailand, Laos, Vietnam, and Myanmar"
http://vivo.ufl.edu/individual/n1543453923,0002-8614,Journal of the American Geriatrics Society,The Effects of Tai Chi On Disability in Older Adults With Mobility Difficulty
http://vivo.ufl.edu/individual/n7374287106,0026-8976,Molecular Physics,The Coupled-Cluster Revolution
http://vivo.ufl.edu/individual/n6400864710,0361-7734,Operative dentistry,Rubber Dam Use During Routine Operative Dentistry Procedures: Findings From the Dental Pbrn
http://vivo.ufl.edu/individual/n1068728477,1096-7192,Molecular genetics and metabolism,Animal models of brain dysfunction in phenylketonuria.
http://vivo.ufl.edu/individual/n5917296300,0026-8976,Molecular Physics,Stopping Power of Molecules for Fast Ions
http://vivo.ufl.edu/individual/n4450571180,1345-6296,Journal of Mineralogical and Petrological Sciences,"Mineralogy of Polymetallic Mineralized Pegmatite of Ras Baroud Granite, Central Eastern Desert, Egypt"
http://vivo.ufl.edu/individual/n2576264924,1071-1023,Journal of Vacuum Science and Technology B,Proton Irradiation Effects On Aln/Gan High Electron Mobility Transistors
http://vivo.ufl.edu/individual/n336364,0001-6322,Acta Neuropathologica,Mutation glucocerebrosidase is present in alpha-synuclein positive inclusions in Lewy body disorders
http://vivo.ufl.edu/individual/n5177784871,0004-6361,Astronomy and Astrophysics,Improving the Identification of High-Z Herschel Sources With Position Priors and Optical/Nir and Fir/Mm Photometric Redshifts
http://vivo.ufl.edu/individual/n6988630151,0305-4403,Journal of Archaeological Science,Woodland Period Ceramic Provenance and the Exchange of Swift Creek Complicated Stamped Vessels in the Southeastern United States
http://vivo.ufl.edu/individual/n9845738690,0091-7613,Geology (Boudler),Nutrient Trap for Late Cretaceous Organic-Rich Black Shales in the Tropical North Atlantic
http://vivo.ufl.edu/individual/n1110176829,1613-6810,Small,Polyhydroxy fullerenes for non-invasive cancer imaging and therapy.
http://vivo.ufl.edu/individual/n4111139281,0043-1745,Weed Science,Picloram and Aminopyralid Sorption To Soil and Clay Minerals
http://vivo.ufl.edu/individual/n4415185680,1535-7163,Molecular Cancer Therapeutics,The Mismatch Repair System Modulates Curcumin Sensitivity Through Induction of Dna Strand Breaks and Activation of G(2)-M Checkpoint
http://vivo.ufl.edu/individual/n8705948851,1464-4096,BJU International,Evidence-Based Urology in Practice: Intention-To-Treat Analysis
http://vivo.ufl.edu/individual/n7797131597,0021-9258,Journal of Biological Chemistry,Moonlighting Glutamate Formiminotransferases Can Functionally Replace 5-Formyltetrahydrofolate Cycloligase
http://vivo.ufl.edu/individual/n7462872726,0191-2615,Transportation Research Part B-Methodological,Robust Congestion Pricing Under Boundedly Rational User Equilibrium
http://vivo.ufl.edu/individual/n1955864949,1600-6135,American Journal of Transplantation,Outcomes and Distributional Efficacy of Kidneys Rejected By Local and Regional Centers.
http://vivo.ufl.edu/individual/n1010488911,0168-9525,Trends in genetics,"Mapping Genes for Plant Structure, Development and Evolution: Functional Mapping Meets Ontology"
http://vivo.ufl.edu/individual/n7635311063,1538-7135,Biosecurity and Bioterrorism-Biodefense Strategy Practice and Science,Implementing a Community-Supported School-Based Influenza Immunization Program
http://vivo.ufl.edu/individual/n815222078,1552-4825,American Journal of Medical Genetics Part a,"Mthfr, Tgfb3, and Tgfa Polymorphisms and Their Association With the Risk of Non-Syndromic Cleft Lip and Cleft Palate in China"
http://vivo.ufl.edu/individual/n4794474829,0883-6612,Annals of Behavioral Medicine,Trajectory of Quality of Life Following Hysterectomy
http://vivo.ufl.edu/individual/n1251347963,0343-8651,Current Microbiology,Fusarium verticillioides (Saccardo) Nirenberg associated with hardlock of cotton.
http://vivo.ufl.edu/individual/n621053283,1932-6203,PLoS One,Association and Linkage Analysis of Aluminum Tolerance Genes in Maize
http://vivo.ufl.edu/individual/n9197400431,0964-6906,Human Molecular Genetics,Partners in Crime: Bidirectional Transcription in Unstable Microsatellite Disease
http://vivo.ufl.edu/individual/n1214548272,0190-6011,The Journal of orthopaedic and sports physical therapy,A psychometric investigation of fear-avoidance model measures in patients with chronic low back pain.
http://vivo.ufl.edu/individual/n1758663210,8750-7587,Journal of Applied Physiology,Preinspiratory and inspiratory hypoglossal motor output during hypoxia-induced plasticity in the rat.
http://vivo.ufl.edu/individual/n8176980030,1091-255X,Journal of Gastrointestinal Surgery,Technique of Minimally Invasive Ivor Lewis Esophagogastrectomy With Intrathoracic Stapled Side-To-Side Anastomosis
http://vivo.ufl.edu/individual/n2929854618,0006-3207,Biological Conservation,Prospects for Biodiversity Conservation in the Atlantic Forest: Lessons From Aging Human-Modified Landscapes
http://vivo.ufl.edu/individual/n2654097213,0167-7063,Journal of Neurogenetics,Differential Evolutionary Rates of Neuronal Transcriptome in Aplysia Kurodai and Aplysia Californica as a Tool for Gene Mining
http://vivo.ufl.edu/individual/n2109453727,0021-8561,Journal of Agricultural and Food Chemistry,"Near-Infrared Reflectance Spectroscopy Predicts Protein, Starch, and Seed Weight in Intact Seeds of Common Bean (Phaseolus Vulgaris L.)"
http://vivo.ufl.edu/individual/n7366087136,1616-301X,Advanced Functional Materials,Non-Volatile Organic Memory Elements Based On Carbon-Nanotube-Enabled Vertical Field-Effect Transistors
http://vivo.ufl.edu/individual/n5843660483,0065-7727,Abstracts of Papers of the American Chemical Society,Spray-Processable Blue-To-Transmissive Polymer Electrochromes
http://vivo.ufl.edu/individual/n3286441881,1459-0255,Journal of Food Agriculture and Environment,Effect of Melia Azedarach L. Extract On Liriomyza Sativae (Diptera: Agromyzidae) and Its Biocontrol Agent Diglyphus Isaea (Hymenoptera: Eulophidae)
http://vivo.ufl.edu/individual/n1837649549,0739-7240,Domestic Animal Endocrinology,Heat Stress Abatement During the Dry Period Influences Prolactin Signaling in Lymphocytes
http://vivo.ufl.edu/individual/n3080551853,0379-864X,Chemical Senses,The Search for Mechanisms Underlying the Sour Taste Evoked By Acids Continues
http://vivo.ufl.edu/individual/n1329186632,2041-1723,Nature Communications,A Quantitative Analysis of Transmission Efficiency Versus Intensity for Malaria
http://vivo.ufl.edu/individual/n5948813144,1098-3600,Genetics in Medicine,Clinical and Genetic Aspects of Angelman Syndrome
http://vivo.ufl.edu/individual/n3604844179,0025-5564,Mathematical Biosciences,Evaluating Treatment of Hepatitis C for Hemolytic Anemia Management
http://vivo.ufl.edu/individual/n3604338276,1388-5545,Nematology,"Acrostichus Megaloptae N. Sp (Nematoda: Diplogastridae), a Phoretic Associate of Megalopta Spp. (Hymenoptera: Halictidae) in Central America"
http://vivo.ufl.edu/individual/n6616692593,0166-8641,Topology and Its Applications,"On Higher Analogs of Topological Complexity (Vol 157, Pg 916, 2010)"
http://vivo.ufl.edu/individual/n6922346829,0021-9290,Journal of Biomechanics,All Joint Moments Significantly Contribute To Trunk Angular Acceleration
http://vivo.ufl.edu/individual/n2106185007,0300-9475,Scandinavian Journal of Immunology,Influence of serum and soluble CD25 (sCD25) on regulatory and effector T-cell function in hepatocellular carcinoma.
http://vivo.ufl.edu/individual/n6541955257,0162-4962,Biography-An Interdisciplinary Quarterly,Political Intuition and African Autobiographies of Childhood
http://vivo.ufl.edu/individual/n9514279331,0884-8734,Journal of General Internal Medicine,"Site Difference in the Utilization of Total Knee Arthroplasty in Older Adults With Knee Pain: Findings From the Health, Aging and Body Composition Study"
http://vivo.ufl.edu/individual/n2394574492,0090-3493,Critical Care Medicine,Novel Adhesive Glove Device (Agd) Use in Conjunction With An Impedance Threshold Device (Itd) During Acd-Cpr in a Piglet Model of Cardiac Arrest
http://vivo.ufl.edu/individual/n3032087818,0047-2484,Journal of Human Evolution,"Semicircular Canal System in Early Primates (Vol 56, Pg 315, 2009)"
http://vivo.ufl.edu/individual/n4900611101,0003-1488,Journal of the American Veterinary Medical Association,Electrical Cardioversion of Sustained Ventricular Tachycardia in Three Boxers
http://vivo.ufl.edu/individual/n9547608944,0027-8874,Journal of the National Cancer Institute,Response: Re: Racial Disparities in Cancer Survival Among Randomized Clinical Trials of the Southwest Oncology Group
http://vivo.ufl.edu/individual/n1865881451,1526-498X,Pest Management Science,Nicotinoid and pyrethroid insecticide resistance in houseflies (Diptera: Muscidae) collected from Florida dairies.
http://vivo.ufl.edu/individual/n1433850217,0002-8614,Journal of the American Geriatrics Society,Printed and Web-Based Education for Caregivers of Stroke Survivors.
http://vivo.ufl.edu/individual/n6012249111,0379-864X,Chemical Senses,Pi3K Gamma-Dependent Signaling in Mouse Olfactory Receptor Neurons
http://vivo.ufl.edu/individual/n6010269297,0001-1452,Aiaa Journal,Elastic Properties of Open-Cell Foams With Tetrakaidecahedral Cells Using Finite Element Analysis
http://vivo.ufl.edu/individual/n6727296886,0300-8932,Revista Espanola De Cardiologia,Platelet Adenosine Diphosphate P2Y(12) Receptor Antagonism: Benefits and Limitations of Current Treatment Strategies and Future Directions
http://vivo.ufl.edu/individual/n4907976384,0253-5068,Blood Purification,Endothelial Progenitor Cells and Endothelial Vesicles - What Is the Significance for Patients With Chronic Kidney Disease?
http://vivo.ufl.edu/individual/n6084585258,0191-6122,Palynology,"Palynology and Paleoecology of the Middle Miocene Alum Bluff Flora, Liberty County, Florida, Usa"
http://vivo.ufl.edu/individual/n2400301127,1932-6203,PLoS One,"Functional Clustering of Periodic Transcriptional Profiles Through Arma(P,Q)"
http://vivo.ufl.edu/individual/n1397449191,0022-0302,Journal of Dairy Science,Exogenous Fibrolytic Enzyme Or Anhydrous Ammonia Effects On Digestion Kinetics of Steers Fed Bermudagrass Harvested At Two Regrowth Intervals.
http://vivo.ufl.edu/individual/n3446937177,0167-6377,Operations Research Letters,Stochastic Lot-Sizing Problem With Deterministic Demands and Wagner-Whitin Costs
http://vivo.ufl.edu/individual/n7150137709,0022-3549,Journal of Pharmaceutical Sciences,Pharmacokinetic and Pharmacodynamic Evaluation of the Lantibiotic Mu1140
http://vivo.ufl.edu/individual/n3737317555,0002-8177,Journal of the American Dental Association,Quality of Life and Economic Burdens of Malocclusion in U.S. Patients Enrolled in Medicaid
http://vivo.ufl.edu/individual/n6129017890,2041-1006,Molecular Oral Microbiology,Tannerella Forsythia Infection-Induced Calvarial Bone and Soft Tissue Transcriptional Profiles
http://vivo.ufl.edu/individual/n6909360335,0146-9428,Journal of Food Quality,Changes in Firmness and Pectic Polysaccharide Solubility in Three Cultivars of Strawberry Fruit Following Short-Term Exposure To High Pco(2)
http://vivo.ufl.edu/individual/n590219633,1742-5689,Journal of Royal Society Interface,Transient virulence of emerging pathogens.
http://vivo.ufl.edu/individual/n2224252119,1475-2875,Malaria Journal,How Absolute Is Zero? An Evaluation of Historical and Current Definitions of Malaria Elimination
http://vivo.ufl.edu/individual/n3232034191,0363-3624,Nurse educator,The Va Nursing Academy Embedded Clinical Education Model
http://vivo.ufl.edu/individual/n9866774292,0014-4851,Experimental Mechanics,Recent Applications of Moire Interferometry
http://vivo.ufl.edu/individual/n988630771,1474-7596,Genome Biology,Genomic Characterization of the Yersinia Genus
http://vivo.ufl.edu/individual/n5576049083,0950-9240,Journal of Human Hypertension,Neuropeptide Y Gene Functional Polymorphism Influences Susceptibility To Hypertension in Indian Population
http://vivo.ufl.edu/individual/n6295264182,0168-3659,Journal of Controlled Release,Extended Release of Dexamethasone From Silicone-Hydrogel Contact Lenses Containing Vitamin E
http://vivo.ufl.edu/individual/n2579853275,0018-5043,Hormone and Metabolic Research,Testosterone Administration Induces Protection Against Global Myocardial Ischemia
http://vivo.ufl.edu/individual/n8459147180,0003-6951,Applied Physics Letters,Electronic Properties of Metal-Semiconductor and Metal-Oxide-Semiconductor Structures Composed of Carbon Nanotube Film On Silicon
http://vivo.ufl.edu/individual/n1407740034,0022-4391,Journal of School Health,Relationship between frequency and intensity of physical activity and health behaviors of adolescents.
http://vivo.ufl.edu/individual/n6541988699,0009-9236,Clinical Pharmacology & Therapeutics,Genetic and Clinical Predictors of Warfarin Dose Requirements in African Americans
http://vivo.ufl.edu/individual/n994824955,0012-3692,Chest,"A 62-year-old woman with dyspnea, leukocytosis, and diffuse ground-glass opacities."
http://vivo.ufl.edu/individual/n418959465,0956-540X,Geophysical Journal International,Seismic Noise Tomography in the Chile Ridge Subduction Region
http://vivo.ufl.edu/individual/n6143480822,0278-0046,IEEE Transactions On Industrial Electronics,Method of Load/Fault Detection for Loosely Coupled Planar Wireless Power Transfer System With Power Delivery Tracking
http://vivo.ufl.edu/individual/n351191722,0738-1360,Marine Resource Economics,Seafood Substitution and Mislabeling: Wtp for a Locally Caught Grouper Labeling Program in Florida
http://vivo.ufl.edu/individual/n4446356556,1042-7260,Journal of Zoo and Wildlife Medicine,"Evidence of Antibiotic Resistance in Free-Swimming, Top-Level Marine Predatory Fishes"
http://vivo.ufl.edu/individual/n2305255963,0163-769X,Endocrine Reviews,Induction of Apolipoprotein A-I Gene Expression By Glucagon-Like Peptide-1 and Exendin-4.
http://vivo.ufl.edu/individual/n308341,0270-6474,Journal of Neuroscience,Distinct region-specific alpha-synuclein oligomers in A53T transgenic mice: implications for neurodegeneration
http://vivo.ufl.edu/individual/n9620307106,1476-4598,Molecular cancer,Warburg Effect in Chemosensitivity: Targeting Lactate Dehydrogenase-a Re-Sensitizes Taxol-Resistant Cancer Cells To Taxol
http://vivo.ufl.edu/individual/n1392698033,0022-0302,Journal of Dairy Science,Effect of Preconditioning Average Daily Gain On Feedlot Performance and Carcass Characteristics of Beef Cattle
http://vivo.ufl.edu/individual/n9255392231,0018-5345,Hortscience,Effect of Laser Labeling On the Survival of Salmonella Spp. On Tomato Surfaces During Postharvest Storage
http://vivo.ufl.edu/individual/n6716090558,1385-4046,The Clinical Neuropsychologist,"Cognitive Declines After Unilateral Deep Brain Stimulation Surgery in Parkinson's Disease: a Controlled Study Using Reliable Change, Part II"
http://vivo.ufl.edu/individual/n8869119481,1932-6203,PLoS One,Lactobacillus Johnsonii N6.2 Mitigates the Development of Type 1 Diabetes in Bb-Dp Rats
http://vivo.ufl.edu/individual/n2969820124,1388-5545,Nematology,"Acrostichus Puri N. Sp (Nematoda: Diplogastridae), a Phoretic Associate of Augochlora Pura Mosieri Cockerell (Hymenoptera: Halictidae)"
http://vivo.ufl.edu/individual/n6180446977,0048-9697,Science of the Total Environment,Air Quality and Outpatient Visits for Asthma in Adults During the 2008 Summer Olympic Games in Beijing
http://vivo.ufl.edu/individual/n3684799343,0952-3871,Journal of Human Nutrition and Dietetics,"Relationship of the Dietary Phytochemical Index To Weight Gain, Oxidative Stress and Inflammation in Overweight Young Adults"
http://vivo.ufl.edu/individual/n3513583561,1098-612X,Journal of Feline Medicine and Surgery,Djd-Associated Pain in Cats What Can We Do To Promote Patient Comfort?
http://vivo.ufl.edu/individual/n1116967826,0029-8549,Oecologia,Your Worst Enemy Could Be Your Best Friend: Predator Contributions To Invasion Resistance and Persistence of Natives
http://vivo.ufl.edu/individual/n6993756890,0884-8734,Journal of General Internal Medicine,General Internists' Beliefs and Behaviors Regarding Routine Hiv Screening in Primary Care
http://vivo.ufl.edu/individual/n6086839440,0161-4754,Journal of Manipulative and Physiological Therapeutics,"The Relationship of the Audible Pop To Hypoalgesia Associated With High-Velocity, Low-Amplitude Thrust Manipulation: a Secondary Analysis of An Experimental Study in Pain-Free Participants"
http://vivo.ufl.edu/individual/n2462881024,0022-2801,Journal of Modern History,Worlds Before Adam: the Reconstruction of Geohistory in the Age of Reform
http://vivo.ufl.edu/individual/n1834989331,0342-4642,Intensive Care Medicine,Brain Tissue Oxygenation and Putative Biomarkers in Severe Traumatic Brain Injury
http://vivo.ufl.edu/individual/n5364051034,0094-2405,Medical Physics,Wide Field Array Calibration Dependence On the Stability of Measured Dose Distributions
http://vivo.ufl.edu/individual/n2353727166,1864-7782,Aquatic Biology,Inter-Nesting Habitat-Use Patterns of Loggerhead Sea Turtles: Enhancing Satellite Tracking With Benthic Mapping
http://vivo.ufl.edu/individual/n9935243260,0028-4793,New England Journal of Medicine,Variant of Tyr and Autoimmunity Susceptibility Loci in Generalized Vitiligo.
http://vivo.ufl.edu/individual/n3522260657,0006-2960,Biochemistry,"Pharmacological Characterization of 30 Human Melanocortin-4 Receptor Polymorphisms With the Endogenous Proopiomelanocortin-Derived Agonists, Synthetic Agonists, and the Endogenous Agouti-Related Protein Antagonist"
http://vivo.ufl.edu/individual/n7699244417,0042-0905,Urban Lawyer,Equal Protection and Aesthetic Zoning: a Possible Crack and a Preemptive Repair
http://vivo.ufl.edu/individual/n278507446,0095-0696,Journal of Environmental Economics and Management,Environmental Innovation and Environmental Performance
http://vivo.ufl.edu/individual/n1041344515,0270-9139,Higher Education Policy,Evaluating Progression of Liver Disease From Paired Liver Biopsies in Children With Chronic Hepatitis C Infection (Hcv)
http://vivo.ufl.edu/individual/n4858169363,0090-3493,Critical Care Medicine,Microtubule-Associated Protein-2: a New Sensitive and Specific Marker for Traumatic Brain Injury
http://vivo.ufl.edu/individual/n2019542762,1545-1151,Preventing chronic disease,"Using Multiple Sources of Data To Assess the Prevalence of Diabetes At the Subcounty Level, Duval County, Florida, 2007"
http://vivo.ufl.edu/individual/n8907407284,1359-6454,Acta Materialia,Experimental and Finite-Element Analysis of the Anisotropic Response of High-Purity Alpha-Titanium in Bending
http://vivo.ufl.edu/individual/n1778719140,0003-7982,Arcadia,Puppetry in Eighteenth-Century England and Germany and in the Nachtwachen Von Bonaventura
http://vivo.ufl.edu/individual/n1475973234,0033-7021,RN,Educating patients to evaluate web-based health care information: the GATOR approach to healthy surfing.
http://vivo.ufl.edu/individual/n8021825639,0001-1452,Aiaa Journal,Effects of Structural Tests On Aircraft Safety
http://vivo.ufl.edu/individual/n9773705495,0272-6386,American Journal of Kidney Diseases,Cryoglobulinemic Mpgn in a Patient With Scleroderma and Sjogren's Syndrome
http://vivo.ufl.edu/individual/n3788266178,0025-326X,Marine Pollution Bulletin,"Temporal and Spatial Trends of Total Petroleum Hydrocarbons in the Seawater of Bohai Bay, China From 1996 To 2005"
http://vivo.ufl.edu/individual/n2787108864,1098-0121,Physical Review B,Cooperative Recombination of Electron-Hole Pairs in Semiconductor Quantum Wells Under Quantizing Magnetic Fields
http://vivo.ufl.edu/individual/n3406527945,0022-0493,Journal of Economic Entomology,Incidence of Candidatus Liberibacter Asiaticus Infection in Abandoned Citrus Occurring in Proximity To Commercially Managed Groves
http://vivo.ufl.edu/individual/n4764078729,0094-3061,Contemporary Sociology-a Journal of Reviews,Inclusive Masculinity: the Changing Nature of Masculinities
http://vivo.ufl.edu/individual/n607562238,1520-5436,Mass Communication and Society,The Writing On the Wall: a Content Analysis of College Students' Facebook Groups for the 2008 Presidential Election
http://vivo.ufl.edu/individual/n8177903215,1520-6106,Journal of Physical Chemistry B,Do Halide Motifs Stabilize Protein Architecture?
http://vivo.ufl.edu/individual/n435529334,0033-3158,Psychopharmacologia,The serotonin 2C receptor potently modulates the head-twitch response in mice induced by a phenethylamine hallucinogen.
http://vivo.ufl.edu/individual/n7522890043,1071-1023,Journal of Vacuum Science and Technology B,Degradation of 150 Nm Mushroom Gate Inalas/Ingaas Metamorphic High Electron Mobility Transistors During Dc Stressing and Thermal Storage
http://vivo.ufl.edu/individual/n6121394600,0022-0957,Journal of Experimental Botany,Light Controls Phospholipase A(2)Alpha and Beta Gene Expression in Citrus Sinensis
http://vivo.ufl.edu/individual/n1389525616,0022-0302,Journal of Dairy Science,Effect of reducing the period of follicle dominance in a timed artificial insemination protocol on reproduction of dairy cows.
http://vivo.ufl.edu/individual/n6617618632,0304-3940,Neuroscience Letters,Expression of Organic Anion Transporters 1 and 3 in the Ovine Fetal Brain During the Latter Half of Gestation
http://vivo.ufl.edu/individual/n240236800,1532-0464,Journal of Biomedical Informatics,An automated reasoning framework for translational research.
http://vivo.ufl.edu/individual/n3437281406,0015-4040,Florida Entomologist,"Establishment and Initial Impact of the Leaf-Beetle Gratiana Boliviana (Chrysomelidae), First Biocontrol Agent Released Against Tropical Soda Apple in Florida"
http://vivo.ufl.edu/individual/n8093435641,0956-053X,Waste Management,Estimating Construction and Demolition Debris Generation Using a Materials Flow Analysis Approach
http://vivo.ufl.edu/individual/n8716186738,1323-1650,Marine and Freshwater Research,"Age and Growth of the Great Hammerhead Shark, Sphyrna Mokarran, in the North-Western Atlantic Ocean and Gulf of Mexico"
http://vivo.ufl.edu/individual/n8557442452,0021-9290,Journal of Biomechanics,Emotional Influences On Locomotor Behavior
http://vivo.ufl.edu/individual/n371952221,1553-5592,Journal of Hospital Medicine,Reducing patient financial liability for hospitalizations: the physician role.
http://vivo.ufl.edu/individual/n2067334147,1353-8020,Parkinsonism & related disorders,Piloting the Npf Data-Driven Quality Improvement Initiative
http://vivo.ufl.edu/individual/n8222038200,0168-8278,Journal of Hepatology,Phase Iib Study of Balapiravir (Rg1626; Nucleoside Analogue Inhibitor of Hcv Polymerase) Plus Peginterferon Alfa-2a (40Kd) and Ribavirin for Chc Genotype 1: Final Results
http://vivo.ufl.edu/individual/n4936938454,0161-3499,Veterinary Surgery,Effect of Cranial Tibial Closing Wedge Angle On Tibial Subluxation: An Ex Vivo Study
http://vivo.ufl.edu/individual/n5383782949,1745-6215,Trials,Study Protocol: Home-Based Telehealth Stroke Care: a Randomized Trial for Veterans
http://vivo.ufl.edu/individual/n1649737192,1740-8695,Maternal and Child Nutrition,Erythrocyte Membrane Fatty Acid Content in Infants Consuming Formulas Supplemented With Docosahexaenoic Acid (Dha) and Arachidonic Acid (Ara): An Observational Study
http://vivo.ufl.edu/individual/n104714147,0266-0032,Soil Use and Management,Subaqueous Soils: Their Genesis and Importance in Ecosystem Management
http://vivo.ufl.edu/individual/n6220570542,1559-6109,Journal of the American Association for Laboratory Animal Science,Histopathologic Findings in a Colony of Prairie Voles
http://vivo.ufl.edu/individual/n3679338428,1092-7875,Maternal and Child Health Journal,Factors That Affect Parent Perceptions of Provider-Family Partnership for Children With Special Health Care Needs
http://vivo.ufl.edu/individual/n4062074559,1064-1262,Reviews in Fisheries Science,Responsible Approach To Marine Stock Enhancement: An Update
http://vivo.ufl.edu/individual/n2250139285,0885-8608,Natural Areas Journal,"Effects of a Prescribed Fire On Understory Vegetation, Carbon Pools, and Soil Nutrients in a Longleaf Pine-Slash Pine Forest in Florida"
